City/General,Category,Note
General,Aviation,Razor blades (for safety/T-razors) prohibited in carry-on. Pack in checked luggage or buy at destination.
General,Aviation,AirFly Pro — connects AirPods to seatback screen via Bluetooth transmitter. Must have for long flights.
General,Aviation,"Multiple flights landing simultaneously = long immigration queues. No way to predict, just budget time."
Hong Kong,Transport,"Buy Octopus card at airport immediately. Works on MTR, buses, ferries, convenience stores."
Hong Kong,Visa,Most passports: 14-90 days visa-free depending on nationality. Check HKID website.
Hong Kong,Accommodation,Rooms 1.5-2x price during CNY. Book 2+ months ahead or skip the period entirely.
Hong Kong,Tips,"Oct-Nov = best time. Dry, 20-25°C, post-Golden Week, no holidays. Cheapest rooms."
Da Nang,Visa,E-visa Vietnam: 30 days single entry. Need proof of onward travel and accommodation. Do QR code in advance.
Da Nang,Weather,"Feb-Apr = sweet spot. Low humidity, no rain, comfortable 25-29°C."
Da Nang,Weather,"Sep-Nov = avoid. Flooding, typhoons, everything grey and wet."
Da Nang,Weather,Jun-Aug = hot but dry. 34°C + high humidity = AC life. Beach is good though.
Da Nang,Transport,Grab works everywhere. Airport to city center ~100k VND.
